Name;assignment;pH;ref_pH;real_5;
Chrysanthemum boreale;herbaceous;slightly acidic;https://agris.fao.org/agris-search/search.do?recordID=KR2013000983;2;
Chrysanthemum indicum;contaminant;out;out;out;
Chrysanthemum x morifolium;contaminant;out;out;out;
Chrysopogon;contaminant;out;out;out;
Chrysopogon zizanioides;contaminant;out;out;out;
Chrysosplenium;herbaceous;acidic to alkaline;https://pfaf.org/user/plant.aspx?latinname=Chrysosplenium+oppositifolium;3;
Cicer;contaminant;out;out;out;
Cicer arietinum;contaminant;out;out;out;
Cinchona;contaminant;out;out;out;
Cinnamomum;contaminant;out;out;out;
Cirsium;herbaceous;slightly acidic to slightly alkaline;https://davesgarden.com/guides/pf/go/32161/;3;
Cirsium vulgare;contaminant;out;out;out;
Cistanche;contaminant;out;out;out;
Cistanche deserticola;contaminant;out;out;out;
Cistanche tubulosa;contaminant;out;out;out;
Citrullus;contaminant;out;out;out;
Citrullus lanatus;contaminant;out;out;out;
Citrus;contaminant;out;out;out;
Citrus maxima;contaminant;out;out;out;
Citrus sinensis;contaminant;out;out;out;
Citrus sp. ls082102;contaminant;out;out;out;
Clevea;contaminant;out;out;out;
Clevea hyalina;contaminant;out;out;out;
Climacium;moss;mildly acidic;https://bantam.earth/tree-moss-climacium-dendroides/;2;
Climacium dendroides;moss;mildly acidic;https://bantam.earth/tree-moss-climacium-dendroides/;2;
Clutia;contaminant;out;out;out;
Clutia pulchella;contaminant;out;out;out;
Cocos;contaminant;out;out;out;
Cocos nucifera;contaminant;out;out;out;
Codonopsis;contaminant;out;out;out;
Codonopsis lanceolata;contaminant;out;out;out;
Coffea;contaminant;out;out;out;
Coffea arabica;contaminant;out;out;out;
Coix;contaminant;out;out;out;
Coix lacryma-jobi;contaminant;out;out;out;
Coleogyne;contaminant;out;out;out;
Coleogyne ramosissima;contaminant;out;out;out;
Colobanthus;contaminant;out;out;out;
Colocasia;contaminant;out;out;out;
Colocasia esculenta;contaminant;out;out;out;
Comarum;herbaceous;slightly acidic;https://en.hortipedia.com/Comarum_palustre;2;
Comarum palustre;herbaceous;slightly acidic;https://en.hortipedia.com/Comarum_palustre;2;
Comarum salesovianum;contaminant;out;out;out;
Combretum;contaminant;out;out;out;
Combretum kraussii;contaminant;out;out;out;
Commiphora;contaminant;out;out;out;
Commiphora gileadensis;contaminant;out;out;out;
Conopholis;contaminant;out;out;out;
Conopholis americana;contaminant;out;out;out;
Coptosapelta;contaminant;out;out;out;
Coptosapelta flavescens;contaminant;out;out;out;
Corallorhiza;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Corallorhiza+maculata;3;
Corchorus;contaminant;out;out;out;
Corchorus olitorius;contaminant;out;out;out;
Cordyline;contaminant;out;out;out;
Coreanomecon;contaminant;out;out;out;
Coreanomecon hylomeconoides;contaminant;out;out;out;
Coriandrum;contaminant;out;out;out;
Coriandrum sativum;contaminant;out;out;out;
Coriaria;contaminant;out;out;out;
Coriaria nepalensis;contaminant;out;out;out;
Cornus;shrub;slightly acidic;https://horticulture.co.uk/dogwood/;2;
Corydalis;herbaceous;neutral;https://www.gardenershq.com/Corydalis-Fumitory.php;3;
Corylus;contaminant;out;out;out;
Corylus avellana;contaminant;out;out;out;
Corynaea;contaminant;out;out;out;
Corynaea crassa;contaminant;out;out;out;
Cotoneaster;shrub;slightly acidic;Cotoneaster;2;
Cotoneaster submultiflorus;contaminant;out;out;out;
Crocus;contaminant;out;out;out;
Crocus sativus;contaminant;out;out;out;
Cucumis;contaminant;out;out;out;
Cucumis melo;contaminant;out;out;out;
Cucumis sativus;contaminant;out;out;out;
Cucurbita;contaminant;out;out;out;
Cucurbita maxima;contaminant;out;out;out;
Cucurbita moschata;contaminant;out;out;out;
Cucurbita pepo;contaminant;out;out;out;
Cupressus;contaminant;out;out;out;
Cupressus sempervirens;contaminant;out;out;out;
Curtisia;contaminant;out;out;out;
Curtisia dentata;contaminant;out;out;out;
Cuscuta;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Cuscuta+europaea;3;
Cuscuta africana;contaminant;out;out;out;
Cuscuta azteca;contaminant;out;out;out;
Cyathodium;contaminant;out;out;out;
Cyathodium steerei;contaminant;out;out;out;
Cynara;contaminant;out;out;out;
Cynara cardunculus;contaminant;out;out;out;
Cynodon;contaminant;out;out;out;
Cynodon dactylon x Cynodon transvaalensis;contaminant;out;out;out;
Cynomorium;contaminant;out;out;out;
Cynomorium coccineum;contaminant;out;out;out;
Cyphia;contaminant;out;out;out;
Cystopteris;contaminant;out;out;out;
Cystopteris protrusa;contaminant;out;out;out;
Dactylis;grass;slightly acidic;https://pfaf.org/user/Plant.aspx?LatinName=Dactylis+glomerata;2;
Dactylis glomerata;grass;slightly acidic;https://pfaf.org/user/Plant.aspx?LatinName=Dactylis+glomerata;2;
Dalbergia;contaminant;out;out;out;
Dampiera;contaminant;out;out;out;
Dampiera diversifolia;contaminant;out;out;out;
Daucus;contaminant;out;out;out;
Daucus carota;contaminant;out;out;out;
Davallia;contaminant;out;out;out;
Davallia solida;contaminant;out;out;out;
Delphinium;herbaceous;slightly acidic;https://gardenerspath.com/plants/flowers/grow-delphiniums/;2;
Dendrobium;contaminant;out;out;out;
Dendrobium catenatum;contaminant;out;out;out;
