depth	min	max	median	mean
531	13547	14632	14177	14157
532	13560	14637	14185	14165
533	13570	14641	14192	14173
534	13582	14648	14200	14181
535	13590	14655	14208	14189
536	13599	14661	14214	14197
537	13607	14668	14222	14205
538	13614	14675	14231	14213
539	13622	14682	14240	14221
540	13628	14690	14249	14229
541	13644	14696	14256	14237
542	13656	14702	14264	14245
543	13670	14712	14272	14252
544	13683	14718	14280	14260
545	13695	14725	14288	14268
546	13709	14735	14295	14276
547	13719	14741	14304	14284
548	13726	14748	14312	14292
549	13734	14755	14321	14300
550	13742	14760	14330	14308
551	13757	14766	14336	14316
552	13769	14772	14344	14324
553	13785	14778	14351	14332
554	13790	14783	14359	14340
555	13801	14786	14366	14347
556	13818	14796	14373	14355
557	13829	14804	14381	14363
558	13836	14812	14388	14371
559	13844	14819	14395	14379
560	13858	14828	14403	14387
561	13868	14832	14411	14395
562	13883	14836	14418	14403
563	13892	14840	14425	14410
564	13903	14848	14431	14418
565	13909	14854	14439	14426
566	13918	14860	14447	14434
567	13929	14865	14455	14442
568	13938	14871	14462	14450
569	13947	14879	14470	14458
570	13956	14889	14477	14466
571	13964	14893	14484	14473
572	13979	14898	14491	14481
573	13990	14905	14498	14489
574	14002	14911	14505	14497
575	14013	14917	14513	14505
576	14023	14920	14521	14513
577	14036	14928	14528	14521
578	14045	14933	14536	14529
579	14055	14942	14543	14536
580	14065	14950	14552	14544
581	14077	14955	14559	14552
582	14091	14959	14566	14560
583	14105	14967	14572	14568
584	14117	14973	14580	14576
585	14126	14978	14587	14584
586	14135	14984	14595	14592
587	14147	14991	14604	14600
588	14158	14998	14611	14608
589	14170	15005	14619	14616
590	14181	15013	14627	14624
591	14191	15017	14635	14632
592	14203	15026	14641	14640
593	14212	15034	14649	14648
594	14222	15043	14657	14655
595	14231	15050	14666	14663
596	14241	15057	14673	14671
597	14249	15065	14680	14679
598	14257	15069	14688	14687
599	14266	15077	14696	14695
600	14273	15084	14704	14703
601	14282	15089	14712	14710
602	14294	15096	14720	14718
603	14302	15103	14727	14726
604	14308	15110	14736	14734
605	14315	15121	14744	14741
606	14322	15129	14752	14749
607	14330	15136	14760	14757
608	14337	15144	14768	14765
609	14343	15153	14776	14773
610	14348	15163	14784	14780
611	14360	15170	14790	14788
612	14370	15177	14798	14796
613	14378	15184	14807	14804
614	14386	15191	14815	14811
615	14394	15197	14824	14819
616	14401	15206	14834	14827
617	14407	15215	14843	14835
618	14414	15226	14851	14842
619	14422	15235	14858	14850
620	14429	15243	14866	14858
621	14436	15248	14874	14866
622	14446	15256	14881	14874
623	14455	15263	14888	14881
624	14463	15271	14896	14889
625	14470	15279	14904	14897
626	14477	15286	14911	14905
627	14485	15293	14921	14912
628	14492	15301	14929	14920
629	14498	15309	14937	14928
630	14503	15320	14945	14936
631	14511	15324	14953	14943
632	14521	15331	14960	14951
633	14534	15339	14968	14959
634	14541	15347	14975	14967
635	14550	15355	14982	14974
636	14557	15364	14990	14982
637	14560	15372	14998	14990
638	14568	15382	15006	14997
639	14575	15392	15013	15005
640	14581	15401	15022	15013
641	14592	15406	15028	15020
642	14603	15411	15035	15028
643	14613	15416	15043	15036
644	14619	15423	15051	15044
645	14629	15429	15059	15051
646	14637	15437	15068	15059
647	14643	15444	15075	15067
648	14652	15450	15083	15074
649	14660	15460	15091	15082
650	14667	15468	15099	15090
651	14679	15474	15107	15097
652	14689	15483	15114	15105
653	14700	15490	15122	15113
654	14709	15499	15131	15121
655	14720	15506	15139	15129
656	14730	15513	15147	15137
657	14736	15520	15154	15145
658	14741	15529	15162	15153
659	14749	15536	15170	15161
660	14755	15546	15178	15169
661	14765	15552	15185	15176
662	14780	15556	15192	15184
663	14791	15563	15200	15191
664	14800	15568	15207	15199
665	14806	15576	15214	15206
666	14816	15581	15222	15214
667	14822	15587	15230	15221
668	14831	15595	15237	15229
669	14836	15605	15244	15236
670	14842	15613	15252	15244
671	14856	15620	15259	15252
672	14865	15626	15267	15259
673	14874	15633	15275	15267
674	14882	15638	15282	15275
675	14890	15645	15290	15283
676	14900	15653	15298	15291
677	14906	15660	15305	15298
678	14915	15669	15313	15306
679	14924	15675	15320	15314
680	14930	15686	15327	15322
681	14939	15691	15334	15329
682	14950	15696	15341	15337
683	14961	15704	15350	15344
684	14972	15711	15357	15352
685	14981	15718	15365	15359
686	14990	15723	15374	15367
687	14999	15731	15381	15375
688	15006	15742	15389	15382
689	15013	15750	15397	15390
690	15021	15760	15403	15397
691	15030	15763	15412	15405
692	15042	15768	15419	15413
693	15053	15773	15427	15421
694	15063	15777	15434	15428
695	15075	15784	15441	15436
696	15086	15790	15449	15444
697	15099	15798	15457	15452
698	15105	15808	15464	15460
699	15110	15815	15472	15467
700	15115	15825	15480	15475
701	15131	15829	15489	15483
702	15142	15836	15497	15491
703	15151	15842	15504	15499
704	15161	15851	15512	15507
705	15172	15858	15520	15514
706	15182	15864	15528	15522
707	15192	15870	15537	15530
708	15201	15876	15545	15538
709	15207	15882	15553	15546
710	15212	15890	15561	15554
711	15223	15896	15568	15561
712	15235	15903	15577	15569
713	15246	15907	15585	15577
714	15253	15914	15592	15585
715	15262	15921	15599	15592
716	15267	15931	15606	15600
717	15273	15941	15614	15608
718	15279	15949	15620	15616
719	15286	15958	15628	15623
720	15291	15966	15636	15631
721	15300	15974	15644	15639
722	15306	15981	15653	15647
723	15313	15989	15660	15655
724	15321	16001	15667	15663
725	15327	16010	15675	15671
726	15332	16022	15683	15679
727	15337	16033	15690	15687
728	15342	16045	15698	15695
729	15345	16059	15706	15703
730	15351	16070	15712	15711
731	15360	16076	15720	15719
732	15368	16083	15728	15727
733	15377	16092	15736	15735
734	15385	16099	15744	15743
735	15391	16112	15752	15751
736	15398	16124	15760	15759
737	15404	16137	15768	15767
738	15408	16146	15776	15774
739	15411	16155	15785	15782
740	15413	16166	15793	15790
741	15421	16176	15802	15798
742	15429	16182	15810	15806
743	15438	16188	15818	15814
744	15446	16196	15825	15822
745	15453	16207	15833	15830
746	15459	16216	15840	15838
747	15462	16231	15849	15845
748	15469	16242	15856	15853
749	15473	16251	15864	15861
750	15478	16264	15871	15869
751	15488	16271	15879	15877
752	15497	16277	15887	15885
753	15506	16285	15896	15893
754	15514	16294	15903	15901
755	15522	16301	15911	15909
756	15528	16311	15919	15917
757	15533	16320	15927	15925
758	15538	16331	15935	15933
759	15541	16341	15943	15941
760	15546	16352	15952	15949
761	15557	16363	15959	15957
